00:0E:8F:FE:DE:E4,00:1D:0F:EE:5A:9A,00:6B:8E:4A:37:8C,04:8D:38:C8:40:12,14:CC:20:A5:38:EA,14:DD:A9:F3:A2:B0,3C:33:00:A7:34:E6,48:02:2A:7B:16:9C,54:67:51:BB:3E:BC,54:B8:0A:4F:ED:3C,54:B8:0A:4F:F0:D8,56:67:11:BB:3E:BC,64:66:B3:45:13:46,64:66:B3:F7:8C:BC,78:54:2E:53:1E:E2,82:F3:A3:45:D5:98,88:53:D4:05:70:01,90:5C:44:F8:E8:F6,90:F6:52:A1:53:1A,92:5C:14:F8:E8:F6,9C:B2:B2:CC:4D:E0,BC:75:74:F4:C5:E2,BC:75:74:F4:C5:E5,BC:C0:0F:63:C3:80,C0:4A:00:DE:66:4C,C8:3A:35:06:A0:50,C8:3A:35:0F:D1:C8,C8:3A:35:19:06:E0,C8:3A:35:21:B8:38,C8:3A:35:3B:13:38,C8:3A:35:3F:7A:20,C8:3A:35:55:5E:68,D0:17:C2:A4:84:FC,D4:21:22:38:D6:C4,DC:53:7C:D8:A8:2B,DE:53:1C:D8:A8:2B,E8:94:F6:29:59:0C,E8:94:F6:41:4D:0C,E8:DE:27:43:64:CE,EC:08:6B:45:56:CC,F4:F2:6D:32:01:9C,F4:F2:6D:A7:B9:02,F8:D1:11:2B:93:68,F8:D1:11:3E:89:52,FC:75:16:78:FC:D3,x,y
0,0,0,-82,0,0,-77,0,0,0,0,0,0,0,0,0,0,-82,-68,-82,0,0,0,0,-73,-71,0,0,0,-76,0,-83,0,0,-83,-82,0,-66,0,0,-81,-81,0,0,0,0.239964,3.662426
0,0,0,-86,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,-80,-72,0,0,0,-76,0,0,0,0,0,0,0,-69,0,0,-80,0,0,0,0,1.156199,2.754848
0,0,0,-82,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,-77,-76,0,0,0,-80,0,-82,0,0,0,0,0,-61,0,-83,-77,0,0,0,-81,1.716084,2.76506
0,0,0,0,0,0,-75,0,0,0,0,0,-81,0,0,0,0,0,-72,0,0,0,0,0,-76,-77,0,0,0,-83,0,0,0,0,0,0,0,-68,0,0,-82,0,0,0,0,1.427952,2.690205
0,0,0,0,0,0,-69,0,0,0,0,0,-81,0,0,0,0,-80,-72,0,-86,0,0,0,-78,-73,0,0,0,-69,0,-77,0,0,0,0,0,-58,0,0,-81,0,0,0,0,2.302341,4.86932
0,0,0,-83,0,0,-80,0,0,0,0,0,0,0,0,0,0,-83,-71,-86,-78,0,0,0,-81,-82,0,0,0,-73,0,-83,0,0,0,0,0,-62,0,0,0,0,0,0,0,3.252981,3.95137
0,0,0,-85,0,0,-81,-86,0,0,0,0,0,0,0,0,0,0,-72,0,-80,0,0,0,-77,-73,0,0,0,-72,0,-81,0,0,0,0,0,-56,0,-84,0,-83,0,0,0,3.637966,3.345385
0,0,0,-82,-77,-83,-77,-84,0,0,0,0,0,0,0,0,0,-83,-74,-82,-85,0,0,0,-80,-78,0,0,0,-77,0,-74,0,0,0,0,0,-55,0,0,-81,0,0,0,0,2.782055,2.174753
0,0,0,-79,0,0,-73,-78,0,0,0,0,0,0,0,0,0,-84,-70,-84,-81,0,0,0,-80,-72,0,0,0,-79,0,-75,0,0,0,0,0,-62,-82,0,-81,0,0,0,0,3.342142,1.417013
0,0,0,0,-77,0,-73,-85,0,-81,0,0,0,-80,0,0,0,-81,-76,-81,0,0,0,-82,-71,-74,0,0,0,-80,-85,-78,0,0,0,0,0,-47,0,0,-77,0,-80,-84,0,4.260855,1.811142
0,0,0,-77,-77,0,-76,-74,0,-82,0,0,0,-80,0,0,0,-81,-71,-79,0,0,0,0,-76,-71,0,0,0,-76,-80,-64,0,0,0,0,0,-45,0,0,-77,0,0,-82,-81,3.405848,1.107136
0,0,0,-77,-80,-81,-76,-82,0,0,-83,0,0,-83,-86,0,0,-82,-69,-83,0,0,0,0,-75,-74,0,0,0,-78,0,-71,0,0,0,0,0,-44,-82,0,-73,0,-82,-81,0,2.36027,0.37298
0,0,0,-77,-80,-81,-76,0,0,0,-82,0,0,0,0,0,0,-76,-69,-76,0,0,0,0,-73,-71,0,0,-81,-76,0,-73,0,0,0,0,0,-53,0,0,-74,0,-82,-82,0,2.625668,-0.389626
0,0,0,-81,-79,-80,-74,-82,0,0,0,0,0,0,0,0,0,-79,-69,-78,-82,0,0,0,-74,-72,0,0,0,-72,-85,-72,0,0,0,0,-88,-66,0,0,-78,0,0,0,-80,3.459131,-0.950378
0,0,0,-77,0,-83,-72,0,0,0,0,0,0,0,0,0,0,-82,-76,-82,0,0,0,0,-69,-75,0,0,0,-78,0,-80,0,0,0,0,0,-66,0,0,-78,0,0,-84,-82,3.120066,-1.905207
0,0,0,-73,0,-81,-75,0,-80,0,-84,0,0,0,0,0,-84,-80,-69,-74,0,0,0,-85,-74,-77,0,0,-83,-77,0,-85,0,-83,-81,-84,0,-70,0,0,-75,0,0,0,-74,1.674633,-1.323982
0,0,0,-76,0,-80,-74,0,-83,0,-84,-83,0,0,0,0,-83,-82,-70,-81,0,0,0,0,-79,-74,0,0,0,-73,0,-83,0,-84,0,0,0,-70,0,0,-81,0,0,0,-79,1.079056,-0.449459
0,0,-85,-72,0,-82,-71,-83,-83,0,0,-83,-83,0,0,0,0,-79,-71,-80,0,0,0,0,-69,-73,0,0,0,-83,0,-82,0,0,0,0,0,-71,0,0,-75,0,0,-81,-79,0.860357,0.635431
0,0,-86,-77,0,-82,-71,0,0,0,-82,0,0,0,0,0,0,-81,-65,-80,0,0,0,0,-70,-72,0,0,0,-73,0,-82,0,0,0,0,0,-65,0,0,-74,0,-81,-82,-83,0.39653,1.476755
